==========================================
SLURM_JOB_ID = 8002737
SLURM_JOB_NODELIST = a04-06
TMPDIR = /tmp/SLURM_8002737
==========================================
/home1/dpwani/.conda/envs/dipak-vqa-2/lib/python3.10/site-packages/torch/utils/data/dataloader.py:487: UserWarning: This DataLoader will create 8 worker processes in total. Our suggested max number of worker in current system is 4, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(_create_warning_msg(
/home1/dpwani/.conda/envs/dipak-vqa-2/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:131: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
| TRAIN SET | Epoch [20/30], Step [0000/1733], Loss: 1.6750
| TRAIN SET | Epoch [20/30], Step [0001/1733], Loss: 1.6112
| TRAIN SET | Epoch [20/30], Step [0002/1733], Loss: 1.7420
| TRAIN SET | Epoch [20/30], Step [0003/1733], Loss: 1.6061
| TRAIN SET | Epoch [20/30], Step [0004/1733], Loss: 1.7531
| TRAIN SET | Epoch [20/30], Step [0005/1733], Loss: 1.6790
| TRAIN SET | Epoch [20/30], Step [0006/1733], Loss: 1.8022
| TRAIN SET | Epoch [20/30], Step [0007/1733], Loss: 1.8110
| TRAIN SET | Epoch [20/30], Step [0008/1733], Loss: 1.5400
| TRAIN SET | Epoch [20/30], Step [0009/1733], Loss: 1.8294
| TRAIN SET | Epoch [20/30], Step [0010/1733], Loss: 1.7416
| TRAIN SET | Epoch [20/30], Step [0011/1733], Loss: 1.7623
| TRAIN SET | Epoch [20/30], Step [0012/1733], Loss: 1.8594
| TRAIN SET | Epoch [20/30], Step [0013/1733], Loss: 1.6613
| TRAIN SET | Epoch [20/30], Step [0014/1733], Loss: 1.7586
| TRAIN SET | Epoch [20/30], Step [0015/1733], Loss: 1.6518
| TRAIN SET | Epoch [20/30], Step [0016/1733], Loss: 1.7194
| TRAIN SET | Epoch [20/30], Step [0017/1733], Loss: 1.6867
| TRAIN SET | Epoch [20/30], Step [0018/1733], Loss: 1.8413
| TRAIN SET | Epoch [20/30], Step [0019/1733], Loss: 1.9901
| TRAIN SET | Epoch [20/30], Step [0020/1733], Loss: 1.8378
| TRAIN SET | Epoch [20/30], Step [0021/1733], Loss: 1.8206
| TRAIN SET | Epoch [20/30], Step [0022/1733], Loss: 1.5816
| TRAIN SET | Epoch [20/30], Step [0023/1733], Loss: 1.7983
| TRAIN SET | Epoch [20/30], Step [0024/1733], Loss: 1.7401
| TRAIN SET | Epoch [20/30], Step [0025/1733], Loss: 1.7132
| TRAIN SET | Epoch [20/30], Step [0026/1733], Loss: 1.8966
| TRAIN SET | Epoch [20/30], Step [0027/1733], Loss: 1.8674
| TRAIN SET | Epoch [20/30], Step [0028/1733], Loss: 1.7535
| TRAIN SET | Epoch [20/30], Step [0029/1733], Loss: 1.7541
| TRAIN SET | Epoch [20/30], Step [0030/1733], Loss: 1.8939
| TRAIN SET | Epoch [20/30], Step [0031/1733], Loss: 1.5671
| TRAIN SET | Epoch [20/30], Step [0032/1733], Loss: 1.6841
| TRAIN SET | Epoch [20/30], Step [0033/1733], Loss: 1.8790
| TRAIN SET | Epoch [20/30], Step [0034/1733], Loss: 1.7127
| TRAIN SET | Epoch [20/30], Step [0035/1733], Loss: 1.6366
| TRAIN SET | Epoch [20/30], Step [0036/1733], Loss: 1.7103
| TRAIN SET | Epoch [20/30], Step [0037/1733], Loss: 1.5814
| TRAIN SET | Epoch [20/30], Step [0038/1733], Loss: 1.7831
| TRAIN SET | Epoch [20/30], Step [0039/1733], Loss: 1.7721
| TRAIN SET | Epoch [20/30], Step [0040/1733], Loss: 1.6952
| TRAIN SET | Epoch [20/30], Step [0041/1733], Loss: 1.7157
| TRAIN SET | Epoch [20/30], Step [0042/1733], Loss: 1.7987
| TRAIN SET | Epoch [20/30], Step [0043/1733], Loss: 1.6597
| TRAIN SET | Epoch [20/30], Step [0044/1733], Loss: 1.8658
| TRAIN SET | Epoch [20/30], Step [0045/1733], Loss: 1.7911
| TRAIN SET | Epoch [20/30], Step [0046/1733], Loss: 1.6027
| TRAIN SET | Epoch [20/30], Step [0047/1733], Loss: 1.7261
| TRAIN SET | Epoch [20/30], Step [0048/1733], Loss: 1.6890
| TRAIN SET | Epoch [20/30], Step [0049/1733], Loss: 1.6150
| TRAIN SET | Epoch [20/30], Step [0050/1733], Loss: 1.8681
| TRAIN SET | Epoch [20/30], Step [0051/1733], Loss: 1.6754
| TRAIN SET | Epoch [20/30], Step [0052/1733], Loss: 1.9054
| TRAIN SET | Epoch [20/30], Step [0053/1733], Loss: 1.8049
| TRAIN SET | Epoch [20/30], Step [0054/1733], Loss: 1.7048
| TRAIN SET | Epoch [20/30], Step [0055/1733], Loss: 1.8097
| TRAIN SET | Epoch [20/30], Step [0056/1733], Loss: 1.7525
| TRAIN SET | Epoch [20/30], Step [0057/1733], Loss: 2.0180
| TRAIN SET | Epoch [20/30], Step [0058/1733], Loss: 1.7647
| TRAIN SET | Epoch [20/30], Step [0059/1733], Loss: 1.8033
| TRAIN SET | Epoch [20/30], Step [0060/1733], Loss: 1.9676
| TRAIN SET | Epoch [20/30], Step [0061/1733], Loss: 1.7161
| TRAIN SET | Epoch [20/30], Step [0062/1733], Loss: 1.8237
| TRAIN SET | Epoch [20/30], Step [0063/1733], Loss: 1.5991
| TRAIN SET | Epoch [20/30], Step [0064/1733], Loss: 1.8200
| TRAIN SET | Epoch [20/30], Step [0065/1733], Loss: 1.7839
| TRAIN SET | Epoch [20/30], Step [0066/1733], Loss: 1.9414
| TRAIN SET | Epoch [20/30], Step [0067/1733], Loss: 1.6398
| TRAIN SET | Epoch [20/30], Step [0068/1733], Loss: 1.8833
| TRAIN SET | Epoch [20/30], Step [0069/1733], Loss: 1.8480
| TRAIN SET | Epoch [20/30], Step [0070/1733], Loss: 1.7426
| TRAIN SET | Epoch [20/30], Step [0071/1733], Loss: 1.5648
| TRAIN SET | Epoch [20/30], Step [0072/1733], Loss: 1.8034
| TRAIN SET | Epoch [20/30], Step [0073/1733], Loss: 1.7995
| TRAIN SET | Epoch [20/30], Step [0074/1733], Loss: 1.7017
| TRAIN SET | Epoch [20/30], Step [0075/1733], Loss: 1.8180
| TRAIN SET | Epoch [20/30], Step [0076/1733], Loss: 1.8051
| TRAIN SET | Epoch [20/30], Step [0077/1733], Loss: 1.7194
| TRAIN SET | Epoch [20/30], Step [0078/1733], Loss: 1.8604
| TRAIN SET | Epoch [20/30], Step [0079/1733], Loss: 1.6682
| TRAIN SET | Epoch [20/30], Step [0080/1733], Loss: 1.7213
| TRAIN SET | Epoch [20/30], Step [0081/1733], Loss: 1.6706
| TRAIN SET | Epoch [20/30], Step [0082/1733], Loss: 1.7715
| TRAIN SET | Epoch [20/30], Step [0083/1733], Loss: 1.6810
| TRAIN SET | Epoch [20/30], Step [0084/1733], Loss: 1.8385
